Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL GBP,Return %,Commission GBP,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative PnL GBP,Cumulative PnL %,Duration (bars)
46,Exit short,29/01/2026 23:30,Exit Short 15M,191.31,1,190.71,-0.43,-0.31,0,0.07,0.05,-0.57,-0.41,0.8,0.08,1
46,Entry short,29/01/2026 23:15,Short 15M,190.71,1,190.71,-0.43,-0.31,0,0.07,0.05,-0.57,-0.41,0.8,0.08,1
47,Exit short,30/01/2026 20:45,Exit Short 15M,191.69,1,190.81,-0.64,-0.46,0,0.96,0.7,-0.64,-0.46,0.17,0.02,3
47,Entry short,30/01/2026 20:00,Short 15M,190.81,1,190.81,-0.64,-0.46,0,0.96,0.7,-0.64,-0.46,0.17,0.02,3
48,Exit long,30/01/2026 21:45,Exit Long 15M,190.46,1,191.38,-0.67,-0.48,0,0.09,0.06,-0.67,-0.48,-0.5,-0.05,3
48,Entry long,30/01/2026 21:00,Long 15M,191.38,1,191.38,-0.67,-0.48,0,0.09,0.06,-0.67,-0.48,-0.5,-0.05,3
49,Exit short,31/01/2026 00:45,Exit Short 15M,190.23,1,189.93,-0.22,-0.16,0,0.3,0.22,-0.22,-0.16,-0.72,-0.07,3
49,Entry short,31/01/2026 00:00,Short 15M,189.93,1,189.93,-0.22,-0.16,0,0.3,0.22,-0.22,-0.16,-0.72,-0.07,3
50,Exit short,02/02/2026 11:30,Exit Short 15M,187.82,1,187.3,-0.38,-0.28,0,0.12,0.09,-0.57,-0.42,-1.1,-0.11,9
50,Entry short,02/02/2026 09:15,Short 15M,187.3,1,187.3,-0.38,-0.28,0,0.12,0.09,-0.57,-0.42,-1.1,-0.11,9
51,Exit short,02/02/2026 17:00,Exit Short 15M,189.47,1,188.23,-0.91,-0.66,0,1.32,0.96,-0.94,-0.68,-2,-0.2,13
51,Entry short,02/02/2026 13:45,Short 15M,188.23,1,188.23,-0.91,-0.66,0,1.32,0.96,-0.94,-0.68,-2,-0.2,13
52,Exit short,02/02/2026 21:00,Exit Short 15M,183.83,1,187.44,2.64,1.93,0,2.64,1.93,-0.15,-0.11,0.63,0.06,4
52,Entry short,02/02/2026 20:00,Short 15M,187.44,1,187.44,2.64,1.93,0,2.64,1.93,-0.15,-0.11,0.63,0.06,4
